simulation_time,ambulance_edge,ambulance_speed,ambulance_distance_covered,num_vehicles
188.0,73030702#3,18.179396938944794,78.79729830475858,11
189.0,73030702#3,18.665486935472675,80.66384699830586,12
190.0,73030702#3,16.008233152019066,82.26467031350776,12
191.0,73030702#3,11.508233152019066,83.41549362870967,12
192.0,73030702#3,7.227277679465459,84.13822139665622,12
193.0,:866758851_3,5.596278494109139,84.69784924606714,12
194.0,1124062593#0,5.544889698097688,85.2523382158769,12
195.0,1124062593#0,5.920991122840643,85.84443732816096,12
196.0,1124062593#0,6.245927265031934,86.46903005466416,11
197.0,1124062593#0,6.599875988614951,87.12901765352565,11
198.0,1124062593#0,7.07818467228368,87.83683612075401,12
199.0,1124062593#0,7.45173369010605,88.58200948976462,12
200.0,1124062593#0,7.923589378305916,89.3743684275952,12
201.0,1124062593#0,8.4227754927722,90.21664597687241,10
202.0,1124062593#0,8.674897058519274,91.08413568272434,10
203.0,1124062593#0,9.075750004618168,91.99171068318616,10
204.0,1124062593#0,9.409729626438786,92.93268364583004,10
205.0,1124062593#0,9.665345939576365,93.89921823978767,10
206.0,1124062593#0,10.10698350420149,94.90991659020781,11
207.0,1124062593#0,9.346369335359391,95.84455352374376,11
208.0,:866733653_1,4.846369335359391,96.3291904572797,11
209.0,:866733653_9,5.232017398277726,96.85239219710746,11
210.0,73030447#0,5.624854599057194,97.41487765701318,11
211.0,73030447#0,6.071802281764299,98.02205788518961,11
212.0,73030447#0,6.450926019974482,98.66715048718706,11
213.0,73030447#0,6.856629440608863,99.35281343124794,11
214.0,73030447#0,7.315030759888664,100.0843165072368,11
215.0,73030447#0,7.581381167624109,100.84245462399922,11
216.0,73030447#0,8.061348264328167,101.64858945043203,11
217.0,73030447#0,8.40261504809741,102.48885095524177,10
218.0,:866758846_1,8.84278578007497,103.37312953324927,10
219.0,:866758846_1,9.276878049703278,104.3008173382196,10
220.0,73030447#1,9.547934590130076,105.2556107972326,10
221.0,73030447#1,9.950504750352316,106.25066127226783,10
222.0,73030447#1,10.40974819548564,107.2916360918164,10
223.0,73030447#1,10.77981081737807,108.3696171735542,10
224.0,73030447#1,11.03983714832129,109.47360088838633,11
225.0,:866758835_1,11.325230626088064,110.60612395099514,11
226.0,73030447#2,11.669719196380079,111.77309587063314,11
227.0,73030447#2,12.039013046469968,112.97699717528013,11
228.0,73030447#2,12.426586720965766,114.21965584737671,11
229.0,73030447#2,12.772812933359724,115.49693714071269,10
230.0,73030447#2,13.10858019940924,116.80779516065361,10
231.0,73030447#2,13.376360258135442,118.14543118646715,10
232.0,:866731543_5,13.654726283672694,119.51090381483442,11
233.0,73030447#3,14.027613696211711,120.9136651844556,11
234.0,73030447#3,13.835814766970225,122.29724666115261,11
235.0,73030447#3,13.873323519865744,123.68457901313919,11
236.0,73030447#3,13.806239679549117,125.0652029810941,11
237.0,73030447#3,12.704528437797896,126.3356558248739,11
238.0,73030447#3,8.513964266183073,127.1870522514922,11
239.0,:cluster_866733633_866835091_1,8.865806998177185,128.07363295130992,11
240.0,:cluster_866733633_866835091_1,9.144371289717718,128.9880700802817,11
241.0,73030447#5,9.638007042596335,129.9518707845413,12
242.0,73030447#5,10.021663136447067,130.954037098186,12
243.0,73030447#5,10.500384339205674,132.00407553210658,12
244.0,73030447#5,10.914671189633417,133.09554265106993,12
245.0,73030447#5,11.166325117128189,134.21217516278276,12
246.0,73030447#5,11.419558890878442,135.3541310518706,12
247.0,73030447#5,11.11744125507275,136.46587517737788,12
248.0,:866769279_0,6.61744125507275,137.12761930288517,12
249.0,:866769279_0,6.5291243729853665,137.7805317401837,13
250.0,73032857#1,6.55188625975015,138.43572036615873,12
251.0,73032857#1,6.963256389423892,139.13204600510113,12
252.0,73032857#1,7.413659146926053,139.87341191979374,12
253.0,73032857#1,7.763601370851662,140.6497720568789,12
254.0,73032857#1,8.206343317576371,141.47040638863655,12
255.0,73032857#1,8.685891964528397,142.33899558508938,12
256.0,73032857#1,8.975696359525587,143.23656522104193,12
257.0,73032857#1,9.258058235745098,144.16237104461644,12
258.0,73032857#1,9.512455676039368,145.11361661222037,13
259.0,73032857#1,9.827433166324314,146.0963599288528,13
260.0,73032857#1,10.08578648639113,147.1049385774919,13
261.0,73032857#1,10.50950676225793,148.1558892537177,13
262.0,73032857#1,10.921438837479487,149.24803313746565,13
263.0,73032857#1,11.377041517521407,150.3857372892178,13
264.0,73032857#1,11.693735306963477,151.55511081991415,13
265.0,73032857#1,11.971447703600548,152.75225559027422,13
266.0,73032857#1,12.337658178873513,153.98602140816158,14
267.0,73032857#1,11.356859249166394,155.1217073330782,14
268.0,73032857#1,6.856859249166394,155.80739325799485,14
269.0,:cluster_10279333658_866769280_5,7.181943320248923,156.52558759001974,14
270.0,:cluster_10279333658_866769280_5,7.625847466218932,157.28817233664162,14
271.0,1124062590#1,7.898875592147181,158.07805989585634,14
272.0,1124062590#1,8.323851590846846,158.91044505494102,14
273.0,1124062590#1,8.656403744289367,159.77608542936997,14
274.0,1124062590#1,9.117770492610237,160.687862478631,14
275.0,1124062590#1,9.416508395095537,161.62951331814054,15
276.0,1124062590#1,9.686914656822285,162.59820478382278,15
277.0,1124062590#1,10.04598883997993,163.60280366782078,15
278.0,1124062590#1,10.537384179640743,164.65654208578485,14
279.0,1124062590#1,7.894053379058121,165.44594742369065,14
280.0,:7339720162_1,4.679002566182055,165.91384768030886,14
281.0,:7339720162_9,5.152726423088927,166.42912032261776,14
282.0,:12320492895_4,5.443486504524946,166.97346897307025,14
283.0,:12320492895_4,5.803185744071845,167.55378754747744,14
284.0,-1180132072#1,6.25667456296552,168.179455003774,15
